title,engine_size,engine_type,total_kms,price,link
SPOTLIGHT,2015,3.0 Diesel,"122,850 km","€20,000",/cars-for-sale/bmw-3-series-2015/37683228?campaign=3
BMW 3-Series 2014,2014,2.0 Diesel,"186,000 mi","€12,900",/cars-for-sale/bmw-3-series-2014/37465005
Evra Motors,Independent Dealer,2016,2.0 Petrol Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37074375
Evra Motors,Independent Dealer,2016,2.0 Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37074373
Bmw 318 sport,2014,2.0 Diesel,"123,000 mi",No price found,/cars-for-sale/bmw-318-sport/37623069
Bmw 320D 161 Nct 7/25 Tax 8/24,2016,2.0 Diesel,"203,000 km","€11,300",/cars-for-sale/bmw-320d-161-nct-7-25-tax-8-24/37555145
BMW 318D SE 2015,2015,2.0 Diesel,"206,000 km","€12,000",/cars-for-sale/bmw-318d-se-2015/37461795
Bmw 330e,2016,2.0 Petrol Plug-in Hybrid,"124,000 mi","€20,500",/cars-for-sale/bmw-330e/37339716
Derg Valley Autos,Independent Dealer,2014,3.0 Diesel,No price found,/cars-for-sale/bmw-3-series-2014/37520390
BMW 3-Series 2014,2014,2.0 Diesel,"246,000 km","€10,250",/cars-for-sale/bmw-3-series-2014/37476583
Bill Griffin Motors,Independent Dealer4.3/5,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-320d-m-sport-celebration-edition-aut/37671366
Bwm 320d f30 Msport,2015,2.0 Diesel,"170,000 mi","€13,950",/cars-for-sale/bwm-320d-f30-msport/37051063
BMW 320D,2015,2.0 Diesel,"157,000 mi","€12,500",/cars-for-sale/bmw-320d/35421596
BMW 3-Series 2015 Automatic,2015,2.0 Diesel,"147,000 km","€18,250",/cars-for-sale/bmw-3-series-2015-automatic/37218441
